Название,Компания,Уровень,Зарплата_от,Зарплата_до,Валюта,Опыт,Ссылка,Навыки
Data Analyst / Аналитик данных,Альфа Капитал,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117951530,"Python, SQL, pandas, Numpy, Apache Airflow, sklearn"
Аналитик данных (Производство),Health & Nutrition,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117950792,
Junior Data analyst,Сравни,Junior,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117910962,
Аналитик данных,MIRA TECH L.L.C,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117951035,"SQL, Python, Работа с базами данных, Маркетинговые метрики, Power BI, Регрессионный анализ, A/B тесты, Бизнес-анализ, Tableau, SWOT анализ"
Аналитик данных,Синергия,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117939412,"SQL, MS Excel, Oracle BI, ORACLE, Визуализация данных, Power BI"
Младший аналитик данных,Topface Media,Junior,30000.0,40000.0,RUR,Нет опыта,https://hh.ru/vacancy/117840628,"Python, SQL, Работа с базами данных, Анализ данных, Базы данных, Сбор и анализ информации"
Аналитик данных,"Благо, Компания",Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117962899,
Аналитик данных / Data Analyst,Home Digital School,Middle,100000.0,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117960115,"MS Excel, 1С-Битрикс, amoCRM, Маркетинговые метрики, Работа с базами данных, Работа с CRM, Веб-аналитика, Яндекс.Метрика, Google Analytics, Notion, SQL, A/B тесты, Анализ данных"
Стажер в направление аналитики (аналитик данных),МТС,Junior,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117926475,"SQL, MS Excel, Power BI, DAX, CRM"
Аналитик данных,Негосударственный пенсионный фонд ГАЗФОНД пенсионные накопления,Senior,250000.0,,RUR,От 3 до 6 лет,https://hh.ru/vacancy/116882465,
Аналитик данных,Мастерская Цифровых Решений,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117949575,"BPMN, SQL, Python, MS Excel, Numpy, SciPy, pandas, Keras"
Стажер/аналитик данных (ВТБ Юниор),Changellenge,Junior,75000.0,75000.0,RUR,Нет опыта,https://hh.ru/vacancy/117655117,
Аналитик данных в Excel,Genesis,Middle,50000.0,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117640799,
Аналитик данных,Акваарт,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117889119,"Бизнес-анализ, Анализ данных, SQL, Python"
Data analyst (iGaming),Lenkep recruitment,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118007534,"Power BI, SQL, Python"
ML-инженер / аналитик данных,ФГУП ГлавНИВЦ Управления делами Президента Российской Федерации,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117906236,"Python, Docker, Scikit-learn, Keras, pandas, Numpy, PyTorch, Plotly"
Стажер Data Analyst в команду DataHouse (Big Data),МТС,Junior,,,RUR,Нет опыта,https://hh.ru/vacancy/117983763,"Python, SQL"
Аналитик данных,"ВЕРНЫЙ, Сеть магазинов",Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117894790,
"Стажер, Data Analyst / Data Scientist",Kept (Кэпт),Junior,,,RUR,Нет опыта,https://hh.ru/vacancy/117666474,"Python, pandas, Numpy, ООП, Алгоритмы и структуры данных, Git, MS SQL, Big Data, VBA, PyTorch"
Аналитик данных (research),Selecty,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117983695,"Power BI, MS Excel, MS PowerPoint, Статистика, Бизнес-анализ, Аналитические исследования, B2C исследования, b2b исследования"
Аналитик данных (из Сити),РСХБ-Интех,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117755878,
Аналитик данных,Купер,Middle,,,RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117779691,"SQL, Power BI, Python"
